source,target
110441210,1.23466E+18
110441210,1259839165
110441210,9.52251E+17
110441210,7.73995E+17
110441210,7.73995E+17
110441210,131144285
110441210,1.23466E+18
110441210,7.73995E+17
110441210,9.52251E+17
110441210,8.39939E+17
110441210,7.41753E+17
110441210,110441210
110441210,249790792
110441210,1.14172E+18
110441210,7.67534E+17
110441210,9.00354E+17
110441210,7.73995E+17
110441210,7.73995E+17
110441210,1.18244E+18
110441210,1.41583E+18
110441210,8.55508E+17
110441210,1.25447E+18
110441210,1.41583E+18
110441210,7.73995E+17
110441210,1.24209E+18
110441210,7.73995E+17
110441210,7.73995E+17
110441210,272005814
110441210,7.73995E+17
110441210,7.73995E+17
110441210,1.14205E+18
110441210,7.73995E+17
110441210,1.02469E+18
110441210,20507623
110441210,394358030
110441210,110441210
110441210,310482244
110441210,356016672
110441210,292294268
110441210,8.24105E+17
110441210,4842896938
110441210,3074791585
110441210,1.36027E+18
110441210,1.13392E+18
110441210,33474655
110441210,8.23673E+17
110441210,3074791585
110441210,2319036889
110441210,8.16039E+17
110441210,4842896938
110441210,7.26976E+17
110441210,1.22189E+18
110441210,1961210053
110441210,349660133
110441210,2932236063
110441210,9.00354E+17
110441210,9.56573E+17
110441210,66450516
110441210,1.41583E+18
110441210,3352221010
110441210,880450879
110441210,1.28817E+18
110441210,1.04573E+18
110441210,162118290
110441210,7.47598E+17
110441210,1483122774
110441210,8.24105E+17
110441210,16932949
110441210,8.7407E+17
110441210,1.23466E+18
110441210,1.09794E+18
110441210,1.00008E+18
110441210,1610566350
110441210,8.7407E+17
110441210,8.55508E+17
110441210,1.39868E+18
110441210,8.23673E+17
110441210,1.10205E+18
110441210,8.7407E+17
110441210,50401990
110441210,478359351
110441210,8.23673E+17
110441210,450796093
110441210,1.14727E+18
110441210,9.9931E+17
110441210,21184460
110441210,542747432
110441210,450796093
110441210,8.23673E+17
110441210,80135530
110441210,1.13392E+18
110441210,1.02484E+18
110441210,1.39507E+18
110441210,1.04573E+18
110441210,25128020
110441210,21110740
110441210,7.47598E+17
110441210,8.24105E+17
110441210,34324846
110441210,8.7407E+17
110441210,1.18244E+18
110441210,1.14727E+18
110441210,1.03306E+18
110441210,183261951
110441210,1.0073E+18
110441210,41146245
110441210,8.16764E+17
1.08744E+18,417207839
1.08744E+18,422247305
1.08744E+18,7.50337E+17
1.08744E+18,2459665594
1.08744E+18,8.02185E+17
1.08744E+18,538489875
1.08744E+18,3318553895
1.08744E+18,2385609235
1.08744E+18,2887348840
1.08744E+18,2196143089
2885364623,14505546
2885364623,8.3221E+17
2885364623,8.3221E+17
2885364623,1.15632E+18
2885364623,5988062
2885364623,1.13747E+18
2885364623,71019945
2885364623,374284492
2885364623,4853065283
2885364623,210945307
2885364623,733532010
2885364623,119674486
2885364623,3005897708
2885364623,8.3221E+17
2885364623,179238518
2885364623,14192000
2885364623,8.85416E+17
2885364623,38146999
2885364623,71019945
2885364623,22027975
2885364623,7.01071E+17
2885364623,3108351
2885364623,3419087405
2885364623,3419087405
2885364623,34321294
2885364623,119521385
2885364623,1550654624
2885364623,4853065283
2885364623,574382866
2885364623,15738935
2885364623,15738935
2885364623,179238518
2885364623,93604170
2885364623,179238518
2885364623,179238518
2885364623,71019945
2885364623,16958346
2885364623,20228233
2885364623,617889485
2885364623,22029553
2885364623,16579346
2885364623,14786217
2885364623,5360012
2885364623,110798209
2885364623,7748402
2885364623,16029780
2885364623,226662318
2885364623,226662318
2885364623,119521385
2885364623,1456140842
2885364623,394771955
2885364623,136226860
2885364623,41479920
2885364623,19529816
2885364623,579928000
2885364623,992085643
2885364623,475165737
2885364623,4008771
2885364623,22362552
2885364623,21300055
2885364623,21300055
2885364623,128168729
